Issue;Side-Effect;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbcontrib;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
ComplexClass;Runtime;Code Smell;No;;;;;;;;✅;✅;;;;;;;A complex class is a class containing complex methods. Again, these classes are hard to understandand maintain and need to be refactored [21]. The class complexity is calculated by summing the internal methods complexities. The complexity of a method can be calculated using McCabe’s Cyclomatic Complexity [27].;;educe the internal complexity of the class by simplifying complex methods. Use Cyclomatic Complexity (McCabe's metric) as a guide to refactor methods into smaller, well-defined methods. Apply design patterns like Strategy or Factory to delegate responsibilities.;*.java, *.kt;Warning;ComplexClass1.txt;ComplexClass2.txt;A class designed to implement a complex, well-defined standard (e.g., a parser for a complex file format or a networking protocol) will have an inherently high complexity that mirrors the problem it is solving.;A developer is creating a custom camera implementation that handles camera initialization, preview rendering, photo capture, video recording, image processing, and various camera settings. The class should deal with complex decision trees, nested conditions, and multiple execution paths to handle different device capabilities and user interactions.;;;;;
InternalGetterSetter;Runtime;Obsolete Solution;No;✅;✅;✅;✅;;;;✅;✅;;;;;;NA;On Android, fields should be accessed directly within a class to increase performance. The usage of an internal getter or a setter con- verts into a virtual invoke, which makes the operation three times slower than a direct access . NOTE: As of Android 2.3 (Gingerbread), this optimization is performed automatically by Dalvik, so there is no need to change your code. this is only relevant if you are targeting older versions of Android.;;This issue is obsolete for Android versions 2.3 (Gingerbread) and above since the Dalvik runtime optimizes direct field access. If targeting very old versions, access fields directly within the class instead of using getters and setters to improve performance.;*.java, *.kt;Useless;InternalGetterSetter1.txt;InternalGetterSetter2.txt;This issue is obsolete for Android 2.3 (Gingerbread) and above, as the Dalvik and ART runtimes automatically optimize direct field access. Therefore, on any modern Android version, this warning is void.;A developer is building a data model class for a user profile that contains various attributes like name, email, and preferences. Within the class's internal methods, they access class fields.;;;;;
MemberIgnoringMethod;Runtime;Suboptimal Algorithm;No;✅;✅;✅;;;;;✅;✅;;;;;;;On Android, when a method does not access an object attribute, it is recommended to use a static method. The static method invocations are about 15%–20% faster than a dynamic invocation.;;Non-static methods that do not access any internal properties of the class should be made static in order to increase their efficiency;*.java, *.kt;Warning;MemberIgnoringMethod1.txt;MemberIgnoringMethod2.txt;The method may be part of a class hierarchy and is designed to be overridden by subclasses. While the base implementation doesn't access instance members, its overrides will, making it non-static by design.;A developer is implementing utility functions in a Java Class. One method performs string formatting for display purposes, another validates input patterns, and a third calculates statistical methods over the data provided as input ;;;;;
NoLowMemoryResolver;Memory;Resource Management;Yes;;✅;✅;;;;;✅;✅;✅;;;;;✅;When the Android system is running low on memory, the system calls the method onLowMemory() of running activities, which are supposed to trim their memory usage. If this method is not implemented by the activity, the Android system kills the process in order to free memory, and can cause an abnormal termination of programs ;;Implement the onLowMemory() and onTrimMemory(int level) methods in Activity and Application classes to handle low-memory situations. Free unnecessary resources, clear caches, and optimize memory usage to prevent unexpected app termination.;*.java, *.kt;Warning;NoLowMemoryResolver1.txt;NoLowMemoryResolver2.txt;The application may have a very small and predictable memory footprint, making it highly unlikely to trigger a low-memory situation. In such a case, implementing onLowMemory would add code complexity for a negligible benefit.; developer is creating an image gallery application that loads and caches multiple high-resolution images. The application implements Activity and Fragment lifecycle methods to load and show the gallery and individual photos;;;;;
LeakingInnerClass;Memory;Code Smell;No;;✅;✅;✅;;;;✅;✅;;✅;;;;;In Java, non-static inner and anonymous classes are holding a reference to the outer class, whereas static inner classes are not. This could provoke a memory leak in Android systems;;Convert non-static inner classes to static inner classes or use WeakReference to avoid memory leaks. If an inner class requires access to the outer class, use a WeakReference<OuterClass> instead of a direct reference.;*.java, *.kt;Warning;LeakingInnerClass1.txt;LeakingInnerClass2.txt;A leak is impossible if the inner class instance's lifecycle is guaranteed to be shorter than the outer class's lifecycle. For example, a short-lived Runnable that is created, executed, and garbage collected long before its outer Activity is destroyed.;A developer is implementing a long-running background task that processes data and needs to update the UI when complete. Inside an Activity, they need to handle the background work.;;;;;
UnsuitedLRUCacheSize;Memory;Resource Management;Yes;;;;;;;;;✅;;;;;;;in Android, a cache can be used to store frequently used objects with the Least Recently Used (LRU) API. The code smell occurs when the LRU is initialized without checking the available memory via the getMemoryClass() method. The available memory may vary considerably according to the device so it is necessary to adapt the cache size to the available memory;;When initializing an LRUCache, set its size dynamically based on available memory using ActivityManager.getMemoryClass(). This ensures the cache size adapts to different device specifications, preventing excessive memory usage.;*.java, *.kt;Warning;UnsuitedLRUCacheSize1.txt;UnsuitedLRUCacheSize2.txt;The cache may be designed to hold a small, fixed set of objects where the total memory usage is known and trivial. In this case, a dynamic size calculation based on the device's memory class is unnecessary overhead.;A developer is building a news reader application that caches article images to improve scrolling performance, which suggest the need to use an LRU cache.;;;;;
HashmapUsage;Memory;Data Manipulation, Obsolete Solution;Yes;✅;✅;✅;✅;;;;✅;✅;;;;;;✅;the usage of HashMap is inadvisable when managing small sets in Android. Using HashMaps entails the auto-boxing process where primitive types are converted into generic objects. The issue is that generic objects are much larger than primitive types, 16 and 4 bytes, respectively. Therefore, the framework recommends using the SparseArray data structure that is more memory-eﬃcient;https://googlesamples.github.io/android-custom-lint-rules/checks/UseSparseArrays.md.html;Replace HashMap<Integer, Object> with SparseArray<T>, SparseIntArray, or SparseBooleanArray when working with primitive integer keys. This avoids auto-boxing and significantly reduces memory consumption.;*.java, *.kt;Warning;HashmapUsage1.txt;HashmapUsage2.txt;The code might be part of a shared module that is not Android-specific and therefore cannot use SparseArray. Additionally, for very large and dense sets of data, the performance of HashMap can be better than SparseArray, which uses a binary search.;A developer is implementing a feature to store and retrieve configuration settings with integer keys on memory;;;;;
Overdraw;Energy;Resource Management;yes;;;;✅;;;;;;;;;;;;If you set a background drawable on a root view, then you should use a custom theme where the theme background is null. Otherwise, the theme background will be painted first, only to have your custom background completely cover it. this is called “overdraw”. NOTE: This detector relies on figuring out which layouts are associated with which activities based on scanning the Java code, and it's currently doing that using an inexact pattern matching algorithm. Therefore, it can incorrectly conclude which activity the layout is associated with and then wrongly complain that a background-theme is hidden. If you want your custom background on multiple pages, then you should consider making a custom theme with your custom background and just using that theme instead of a root element background. Of course it's possible that your custom drawable is translucent and you want it to be mixed with the background. However, you will get better performance if you pre-mix the background with your drawable and use that resulting image or color as a custom theme background instead.;;Remove unnecessary background layers in XML or Java code. If setting a custom background on a root view, use a theme with a transparent background instead of layering multiple backgrounds. Pre-mix translucent backgrounds with images for better performance.;*.xml;Warning;Overdraw1.txt;Overdraw2.txt;The background being flagged as overdraw might be a semi-transparent layer that is intentionally designed to blend with the theme's background to create a specific visual effect. The tool might not correctly detect the alpha channel and flag it as fully opaque.; A developer is designing a custom list item layout for a RecyclerView. The layout includes a root FrameLayout, a CardView and an inner LinearLayout with background color. ;;;;;
UIOverdraw;Energy;Resource Management;Yes;;;✅;✅;;;;✅;✅;;;;;;✅;a UI Overdraw is a situation where a pixel of the screen is drawn many times in the same frame. This happens when the UI design consists of unneeded overlapping layers, e.g., hidden backgrounds. To avoid such situations, the canvas.quickreject() API should be used to define the view boundaries that are drawable;;"Optimize layout design by removing overlapping UI layers. Use canvas.quickReject() to define drawable boundaries and prevent unnecessary rendering. Enable ""Show GPU Overdraw"" in Developer Options to detect excessive overdraw.";*.java, *.kt;Warning;UIOverdraw1.txt;UIOverdraw2.txt;The overlapping layers might be an intentional part of the design, used to create effects like parallax scrolling, shadows, or complex animations where some amount of overdraw is unavoidable to achieve the desired visual outcome.;A developer is creating a custom view that draws a complex visualization with multiple layers of graphics. The implementation should draw all elements for every frame.;;;;;
InvalidatewithoutRect;Runtime;Unnecessary Computation;Yes;;;;;;;;✅;✅;✅;;;;;;refers to a code smell that arises when rect to be redrawn is not specified while invalidating the view;; When calling invalidate(), specify a bounding rectangle (invalidate(Rect) or invalidate(left, top, right, bottom)) to redraw only the affected area instead of the entire view, improving performance.;*.java, *.kt;Warning;InvalidatewithoutRect1.txt;InvalidatewithoutRect2.txt;Calling invalidate() without specifying a rectangle is the correct and most efficient approach when the entire content of the view has changed, making a partial redraw insufficient.;A developer is implementing a custom view that displays real-time data visualization. When new data arrives, the view needs to be redrawn to reflect changes and evaluate when only a small section has changed.;;;;;
UnsupportedHardwareAcceleration;Runtime;Suboptimal Algorithm;Yes;;;;;;;;✅;✅;✅;;;;;;On Android, most of the drawing operations are executed in the GPU. Rare drawing operations that are executed in the CPU, e.g., drawPath method in android.graphics.Canvas, should be avoided to reduce CPU load;;Avoid CPU-bound drawing operations like Canvas.drawPath() in performance-critical areas. Instead, use hardware-accelerated alternatives like ShapeDrawable, VectorDrawable, or OpenGL ES for complex graphics.;*.java, *.kt;Warning;UnsupportedHardwareAcceleration1.txt;UnsupportedHardwareAcceleration2.txt;The specific drawing operation being used, such as a complex path effect, may not be supported by hardware acceleration on certain devices or API levels, leaving the CPU-bound version as the only viable option.;A developer is creating a custom drawing application that allows users to draw freehand paths;;;;;
HeavyAsyncTask;Runtime;Concurrency, Suboptimal Algorithm;Yes;;;;;;;;✅;✅;✅;;;;;;refers to a code smell that arises when heavy operations are carried out inside an Async Task. Heavy operation is considered to be any operation that has computational complexity of greater than 10 (McConnel S. Code Complete).;;Offload heavy computations (e.g., complex loops, large database operations) from AsyncTask.doInBackground() to background worker threads using Executors, Coroutines, or WorkManager.;*.java, *.kt;Warning;HeavyAsyncTask1.txt;HeavyAsyncTask2.txt;"The flagged ""heavy"" operation might be I/O-bound rather than CPU-bound, with multiple short waits. In such cases, the overall execution time could be well within acceptable limits for an AsyncTask, making a more complex threading solution like ExecutorService or Coroutines an over-engineering.";A developer is implementing an image processing feature that applies complex filters to photos and perform this task on the background;;;;;
HeavyServiceStart;Energy;Suboptimal Algorithm;Yes;;;;;;;;✅;✅;✅;;;;;;refers to a code smell that arises when heavy operations are carried out inside a Service;;void running long or computationally expensive tasks inside Service. Use JobScheduler, WorkManager, or foreground services for long-running operations.;*.java, *.kt;Warning;HeavyServiceStart1.txt;HeavyServiceStart2.txt;;A developer is creating a music player service that needs to load and process audio files. He should build a service that should allow to populate the app by decoding audio files, building playlists, and initializing audio effects when the service starts.;;;;;
HeavyBroadcastReceiver;Energy;Suboptimal Algorithm;Yes;;;;;;;;✅;✅;✅;;;;;;refers to a code smell that arises when heavy operations are carried out inside a onRecieve() function of Broadcast Receiver;;Keep onReceive() lightweight. Offload heavy processing to a background thread using IntentService, WorkManager, or JobIntentService. Avoid long-running computations in broadcast receivers to prevent ANRs.;*.java, *.kt;Warning;HeavyBroadcastReceiver1.txt;HeavyBroadcastReceiver2.txt;The receiver might be listening for a very infrequent but high-priority system event where immediate, synchronous processing is essential. If the work is just on the edge of the time limit, the developer might accept the risk to ensure the task is completed promptly.;A developer is implementing a broadcast receiver that responds to system events like connectivity changes. It should allow to perform network operations to check server status, update local databases, and synchronize data.;;;;;
BitmapFormatUsage;Memory;Resource Management;Yes;;;;;;;;✅;;✅(divergent);;;;;;Bitmap Format Usage is a code smell that arises when images are represented as Bitmaps which is memory intensive function.;;optimize bitmap usage by using vector drawables (VectorDrawable) or WebP format instead of Bitmap. When using bitmaps, compress them using BitmapFactory.Options.inSampleSize and avoid loading full-resolution images unnecessarily.;*.java, *.kt;Warning;BitmapFormatUsage1.txt;BitmapFormatUsage2.txt;The application may need to perform pixel-level manipulations (e.g., applying dynamic filters), which is straightforward with a Bitmap object but not possible with vector drawables or compressed formats like WebP.;A developer is building a photo gallery application that displays multiple high-resolution images. They should load images as Bitmap objects ;;;;;
UnclosedCloseable;Memory;Resource Management;Yes;;✅;✅;;;;;;;;;;✅;;✅;A class that implements the java.io.Closeable interface is supposed to invoke the close method to release resources that an object is holding.;;Always close resources (like files, streams, or database cursors) by calling close() in a finally block or using Java’s try-with-resources;*.java, *.kt;Warning;UnclosedCloseable1.txt;UnclosedCloseable2.txt;The Closeable resource (like an InputStream) may be wrapped by another object or passed to a library that explicitly takes ownership and guarantees that it will be closed, making a finally block in the original code redundant.;A developer is implementing a feature to read configuration data from a file.  A InputStream should be used to read the file contents ;;;;;
CameraLeak;Energy;Resource Management;Yes;✅;;;;;✅;;;;✅;;;;;✅;android.hardware.Camera - Keeping the camera active without using it;;Always release the camera when it is no longer needed by calling camera.release() in onPause() or onDestroy(). Consider using Camera2API, which provides a more lifecycle-aware approach.;*.java, *.kt;Warning;CameraLeak1.txt;CameraLeak2.txt;The camera's lifecycle might be managed by a higher-level component or a third-party library. A manual release call could interfere with this manager, leading to a crash. The static analysis tool may not see the release call in the managing component.;A developer is implementing a QR code scanner feature that uses the device camera. When the user navigates to the scanner screen, it should open the camera;;;;;
MediaLeak;Energy;Resource Management;Yes;✅;;;;;✅;;;;✅;;;;;✅;Keeping the media recorder active without using it;;Always stop and release the MediaRecorder when finished recording using stop() and release() methods;*.java, *.kt;Warning;MediaLeak1.txt;MediaLeak2.txt;Similar to CameraLeak, the MediaRecorder might be managed by a component that controls its lifecycle across different states (e.g., continuing to record for a short period in the background). Releasing it prematurely in onPause() would be a bug.;A developer is creating a video recording feature that uses MediaRecorder, which should enable to start and top a video recording.;;;;;
LeakingThread;Memory;Resource Management;No;;✅;✅;✅?;;;;;;✅;;;;;✅;In Android programming a thread is a garbage collector (GC) root. The GC does not collect the root bjects and, therefore, if a thread is not adequately stopped it can remain in memory for all the execution of the application, causing an abuse of the memory of the app. If an Activity starts a thread and does not stop it this is considered a design ﬂaw [18]. ADOCTOR detects this smell if a method of an Activity class starts a thread without stopping it through the stop method.;;Ensure that threads started within an Activity are properly stopped when the activity is destroyed. Use Thread.interrupt() or switch to HandlerThread, ExecutorService, or Kotlin Coroutines for better lifecycle management.;*.java, *.kt;Warning;LeakingThread1.txt;LeakingThread2.txt;The thread may be intentionally designed to run for the entire application's lifecycle, and it does not hold any reference to a short-lived component like an Activity, thus not causing a leak. It could also be a daemon thread.;A developer is implementing a background task that periodically refreshes data from a network source. He needs to create a Thread in an Activity's onCreate() method to perform this task;;;;;
LeakingHandler;Memory;Resource Management;No;;;✅?;✅;;;;;;✅;;;;;✅;Since this Handler is declared as an inner class, it may prevent the outer class from being garbage collected. If the Handler is using a Looper or MessageQueue for a thread other than the main thread, then there is no issue. If the Handler is using the Looper or MessageQueue of the main thread, you need to fix your Handler declaration, as follows: Declare the Handler as a static class. In the outer class, instantiate a WeakReference to the outer class and pass this object to your Handler when you instantiate the Handler. Make all references to members of the outer class using the WeakReference object.;https://googlesamples.github.io/android-custom-lint-rules/checks/HandlerLeak.md.html;Declare handlers as static inner classes to prevent memory leaks. Use a WeakReference to reference the outer class;*.java, *.kt;Warning;LeakingHandler1.txt;LeakingHandler2.txt;A leak is impossible if all messages posted to the handler are guaranteed to be processed and removed from the queue before the associated Activity can be destroyed.;A developer is implementing a long-running background task that needs to update the UI periodically. He needs to create a Handler to post messages to the main thread;;;;;
DataTransmissionWithoutCompression;Energy;RPC/IPC, Suboptimal Algorithm;No;;✅;;;;✅;;;;✅;;;;;✅;The smell arises when a method transmits a ﬁle over a network infrastructure without compressing it, causing an overhead of communication [18]. ADOCTOR detects the smell if a method performs an Http request involving an instance of the class File without using a compression library such as ZLIB2 or the APACHE HTTP CLIENT3.;;Compress files before transmitting over a network using Zlib, Gzip, or Apache HttpClient to reduce bandwidth usage;*.java, *.kt;Warning;DataTransmissionWithoutCompression1.txt;DataTransmissionWithoutCompression2.txt;The data being transmitted could already be in a compressed format (e.g., a JPEG image or a ZIP file), making additional compression redundant. Alternatively, for very small files, the computational overhead of compression and decompression could be greater than the benefit of a slightly smaller payload.;A developer is building a file-sharing feature that allows users to upload large files to a server. The upload functionality should use an HttpURLConnection;;;;;
VacuousBackgroundService;Energy;Resource Management;Yes;;;;;;;;;;✅* many false positives?;;;;;✅;refers to an energy bug that arises when a service consumes resources in the background. Hence, a service should be stopped before the application goes to background in onStop method;;Stop services when the app goes into the background by calling stopSelf() in onStop(). Prefer JobScheduler, WorkManager, or Foreground Services only when necessary.;*.java, *.kt;Warning;VacuousBackgroundService1.txt;VacuousBackgroundService2.txt;The service could be a music player or a navigation service that the user expects to continue running when the app is in the background. The tool may lack the context to distinguish this from a service that was unintentionally left running.;A developer needs to create a service to perform periodic data synchronization;;;;;
LifecycleContainment;Energy;Resource Management;Yes;✅;;;;;;;;;✅;;;;;✅;refers to a code smell that arises when a listener is registered but not unregistered from activity;;Always unregister listeners in onPause() or onDestroy();*.java, *.kt;Warning;LifecycleContainment1.txt;LifecycleContainment2.txt;The listener might be registered with an application-level component (not an Activity) and is intended to be active for the entire lifecycle of the application. In this case, it should not be unregistered in onPause.;A developer is implementing location tracking in an activity. The activity should create a LocationListener when created in order to receive location updates;;;;;
